Date,Air_temperature
01-Jan-2013 00:00:00,9.6
01-Jan-2013 01:00:00,9.4
01-Jan-2013 02:00:00,9.2
01-Jan-2013 03:00:00,7.9
01-Jan-2013 04:00:00,7.4
01-Jan-2013 05:00:00,6.4
01-Jan-2013 06:00:00,5.4
01-Jan-2013 07:00:00,5.1
01-Jan-2013 08:00:00,4.7
01-Jan-2013 09:00:00,4.6
01-Jan-2013 10:00:00,5.4
01-Jan-2013 11:00:00,6.8
01-Jan-2013 12:00:00,7.4
01-Jan-2013 13:00:00,7.5
01-Jan-2013 14:00:00,7.4
01-Jan-2013 15:00:00,7.4
01-Jan-2013 16:00:00,6.8
01-Jan-2013 17:00:00,6.5
01-Jan-2013 18:00:00,5.9
01-Jan-2013 19:00:00,5.1
01-Jan-2013 20:00:00,6.1
01-Jan-2013 21:00:00,5.4
01-Jan-2013 22:00:00,5.3
01-Jan-2013 23:00:00,4.4
02-Jan-2013 00:00:00,4
02-Jan-2013 01:00:00,3.7
02-Jan-2013 02:00:00,3.6
02-Jan-2013 03:00:00,3.2
02-Jan-2013 04:00:00,3.5
02-Jan-2013 05:00:00,3.4
02-Jan-2013 06:00:00,3.1
02-Jan-2013 07:00:00,4.3
02-Jan-2013 08:00:00,4.9
02-Jan-2013 09:00:00,5.6
02-Jan-2013 10:00:00,6.1
02-Jan-2013 11:00:00,6.8
02-Jan-2013 12:00:00,7.3
02-Jan-2013 13:00:00,7.9
02-Jan-2013 14:00:00,8
02-Jan-2013 15:00:00,7.9
02-Jan-2013 16:00:00,8.3
02-Jan-2013 17:00:00,8.8
02-Jan-2013 18:00:00,9.5
02-Jan-2013 19:00:00,10.1
02-Jan-2013 20:00:00,10.3
02-Jan-2013 21:00:00,10.7
02-Jan-2013 22:00:00,10.9
02-Jan-2013 23:00:00,11
03-Jan-2013 00:00:00,11
03-Jan-2013 01:00:00,10.7
03-Jan-2013 02:00:00,10.6
03-Jan-2013 03:00:00,10.5
03-Jan-2013 04:00:00,10.5
03-Jan-2013 05:00:00,10.2
03-Jan-2013 06:00:00,9.8
03-Jan-2013 07:00:00,9.8
03-Jan-2013 08:00:00,10
03-Jan-2013 09:00:00,10.3
03-Jan-2013 10:00:00,10.5
03-Jan-2013 11:00:00,10.8
03-Jan-2013 12:00:00,11.1
03-Jan-2013 13:00:00,11.7
03-Jan-2013 14:00:00,11.8
03-Jan-2013 15:00:00,11.5
03-Jan-2013 16:00:00,11.2
03-Jan-2013 17:00:00,10.8
03-Jan-2013 18:00:00,10.9
03-Jan-2013 19:00:00,11
03-Jan-2013 20:00:00,11.1
03-Jan-2013 21:00:00,11.2
03-Jan-2013 22:00:00,11.4
03-Jan-2013 23:00:00,11.2
04-Jan-2013 00:00:00,11.1
04-Jan-2013 01:00:00,10.6
04-Jan-2013 02:00:00,10.3
04-Jan-2013 03:00:00,10.1
04-Jan-2013 04:00:00,10
04-Jan-2013 05:00:00,9.9
04-Jan-2013 06:00:00,10
04-Jan-2013 07:00:00,9.9
04-Jan-2013 08:00:00,9.9
04-Jan-2013 09:00:00,9.6
04-Jan-2013 10:00:00,10
04-Jan-2013 11:00:00,9.9
04-Jan-2013 12:00:00,10
04-Jan-2013 13:00:00,10.2
04-Jan-2013 14:00:00,10.5
04-Jan-2013 15:00:00,10.5
04-Jan-2013 16:00:00,10.2
04-Jan-2013 17:00:00,10.2
04-Jan-2013 18:00:00,10
04-Jan-2013 19:00:00,9.8
04-Jan-2013 20:00:00,9.7
04-Jan-2013 21:00:00,9.3
04-Jan-2013 22:00:00,9
04-Jan-2013 23:00:00,8.6
05-Jan-2013 00:00:00,8.6
05-Jan-2013 01:00:00,8.4
05-Jan-2013 02:00:00,8.4
05-Jan-2013 03:00:00,8.2
05-Jan-2013 04:00:00,8.2
05-Jan-2013 05:00:00,8.3
05-Jan-2013 06:00:00,8.5
05-Jan-2013 07:00:00,8.6
05-Jan-2013 08:00:00,8.7
05-Jan-2013 09:00:00,9.1
05-Jan-2013 10:00:00,9.5
05-Jan-2013 11:00:00,10.2
05-Jan-2013 12:00:00,10.7
05-Jan-2013 13:00:00,10.8
05-Jan-2013 14:00:00,10.9
05-Jan-2013 15:00:00,10.8
05-Jan-2013 16:00:00,10.4
05-Jan-2013 17:00:00,10.3
05-Jan-2013 18:00:00,10.5
05-Jan-2013 19:00:00,10.6
05-Jan-2013 20:00:00,10
05-Jan-2013 21:00:00,9.2
05-Jan-2013 22:00:00,8.7
05-Jan-2013 23:00:00,8.1
06-Jan-2013 00:00:00,7.7
06-Jan-2013 01:00:00,8.1
06-Jan-2013 02:00:00,7.7
06-Jan-2013 03:00:00,7.2
06-Jan-2013 04:00:00,7.3
06-Jan-2013 05:00:00,7.1
06-Jan-2013 06:00:00,7
06-Jan-2013 07:00:00,7.3
06-Jan-2013 08:00:00,7.3
06-Jan-2013 09:00:00,7.6
06-Jan-2013 10:00:00,7.9
06-Jan-2013 11:00:00,8.1
06-Jan-2013 12:00:00,7.6
06-Jan-2013 13:00:00,7.6
06-Jan-2013 14:00:00,7.6
06-Jan-2013 15:00:00,7.4
06-Jan-2013 16:00:00,7.8
06-Jan-2013 17:00:00,7.6
06-Jan-2013 18:00:00,7.7
06-Jan-2013 19:00:00,8.6
06-Jan-2013 20:00:00,8.7
06-Jan-2013 21:00:00,8.8
06-Jan-2013 22:00:00,8.9
06-Jan-2013 23:00:00,8.7
07-Jan-2013 00:00:00,8.5
07-Jan-2013 01:00:00,8.4
07-Jan-2013 02:00:00,8.1
07-Jan-2013 03:00:00,7.7
07-Jan-2013 04:00:00,7.5
07-Jan-2013 05:00:00,7.1
07-Jan-2013 06:00:00,7.3
07-Jan-2013 07:00:00,7.6
07-Jan-2013 08:00:00,7.7
07-Jan-2013 09:00:00,7.7
07-Jan-2013 10:00:00,8.1
07-Jan-2013 11:00:00,8.4
07-Jan-2013 12:00:00,8.6
07-Jan-2013 13:00:00,8.9
07-Jan-2013 14:00:00,8.8
07-Jan-2013 15:00:00,8.8
07-Jan-2013 16:00:00,8.7
07-Jan-2013 17:00:00,8.3
07-Jan-2013 18:00:00,8.3
07-Jan-2013 19:00:00,8.6
07-Jan-2013 20:00:00,8.9
07-Jan-2013 21:00:00,9.2
07-Jan-2013 22:00:00,9.4
07-Jan-2013 23:00:00,9.6
08-Jan-2013 00:00:00,9.6
08-Jan-2013 01:00:00,9.5
08-Jan-2013 02:00:00,9.6
08-Jan-2013 03:00:00,9.6
08-Jan-2013 04:00:00,9.9
08-Jan-2013 05:00:00,9.8
08-Jan-2013 06:00:00,10
08-Jan-2013 07:00:00,10
08-Jan-2013 08:00:00,9.3
08-Jan-2013 09:00:00,9.5
08-Jan-2013 10:00:00,10
08-Jan-2013 11:00:00,10.2
08-Jan-2013 12:00:00,11.2
08-Jan-2013 13:00:00,11.4
08-Jan-2013 14:00:00,11.2
08-Jan-2013 15:00:00,11.1
08-Jan-2013 16:00:00,11
08-Jan-2013 17:00:00,10.9
08-Jan-2013 18:00:00,10.8
08-Jan-2013 19:00:00,10.6
08-Jan-2013 20:00:00,10.5
08-Jan-2013 21:00:00,10.2
08-Jan-2013 22:00:00,9.7
08-Jan-2013 23:00:00,9.2
09-Jan-2013 00:00:00,9.1
09-Jan-2013 01:00:00,9.2
09-Jan-2013 02:00:00,9.3
09-Jan-2013 03:00:00,9.3
09-Jan-2013 04:00:00,9.4
09-Jan-2013 05:00:00,9.5
09-Jan-2013 06:00:00,9.5
09-Jan-2013 07:00:00,9.2
09-Jan-2013 08:00:00,8.9
09-Jan-2013 09:00:00,8.7
09-Jan-2013 10:00:00,8.3
09-Jan-2013 11:00:00,8.1
09-Jan-2013 12:00:00,8.3
09-Jan-2013 13:00:00,8.6
09-Jan-2013 14:00:00,8.5
09-Jan-2013 15:00:00,8.1
09-Jan-2013 16:00:00,7.9
09-Jan-2013 17:00:00,7.4
09-Jan-2013 18:00:00,6.4
09-Jan-2013 19:00:00,6.3
09-Jan-2013 20:00:00,4.2
09-Jan-2013 21:00:00,3.3
09-Jan-2013 22:00:00,3.1
09-Jan-2013 23:00:00,2.4
10-Jan-2013 00:00:00,2.5
10-Jan-2013 01:00:00,2.1
10-Jan-2013 02:00:00,1.5
10-Jan-2013 03:00:00,1.7
10-Jan-2013 04:00:00,1.5
10-Jan-2013 05:00:00,1.7
10-Jan-2013 06:00:00,2.3
