Date,Global_solar_radiation
01-Jan-2013 00:00:00,0
01-Jan-2013 01:00:00,0
01-Jan-2013 02:00:00,0
01-Jan-2013 03:00:00,0
01-Jan-2013 04:00:00,0
01-Jan-2013 05:00:00,0
01-Jan-2013 06:00:00,0
01-Jan-2013 07:00:00,0
01-Jan-2013 08:00:00,0
01-Jan-2013 09:00:00,29
01-Jan-2013 10:00:00,357
01-Jan-2013 11:00:00,691
01-Jan-2013 12:00:00,903
01-Jan-2013 13:00:00,806
01-Jan-2013 14:00:00,755
01-Jan-2013 15:00:00,559
01-Jan-2013 16:00:00,110
01-Jan-2013 17:00:00,0
01-Jan-2013 18:00:00,0
01-Jan-2013 19:00:00,0
01-Jan-2013 20:00:00,0
01-Jan-2013 21:00:00,0
01-Jan-2013 22:00:00,0
01-Jan-2013 23:00:00,0
02-Jan-2013 00:00:00,0
02-Jan-2013 01:00:00,0
02-Jan-2013 02:00:00,0
02-Jan-2013 03:00:00,0
02-Jan-2013 04:00:00,0
02-Jan-2013 05:00:00,0
02-Jan-2013 06:00:00,0
02-Jan-2013 07:00:00,0
02-Jan-2013 08:00:00,0
02-Jan-2013 09:00:00,31
02-Jan-2013 10:00:00,109
02-Jan-2013 11:00:00,221
02-Jan-2013 12:00:00,163
02-Jan-2013 13:00:00,152
02-Jan-2013 14:00:00,131
02-Jan-2013 15:00:00,58
02-Jan-2013 16:00:00,34
02-Jan-2013 17:00:00,2
02-Jan-2013 18:00:00,0
02-Jan-2013 19:00:00,0
02-Jan-2013 20:00:00,0
02-Jan-2013 21:00:00,0
02-Jan-2013 22:00:00,0
02-Jan-2013 23:00:00,0
03-Jan-2013 00:00:00,0
03-Jan-2013 01:00:00,0
03-Jan-2013 02:00:00,0
03-Jan-2013 03:00:00,0
03-Jan-2013 04:00:00,0
03-Jan-2013 05:00:00,0
03-Jan-2013 06:00:00,0
03-Jan-2013 07:00:00,0
03-Jan-2013 08:00:00,0
03-Jan-2013 09:00:00,28
03-Jan-2013 10:00:00,171
03-Jan-2013 11:00:00,260
03-Jan-2013 12:00:00,195
03-Jan-2013 13:00:00,425
03-Jan-2013 14:00:00,346
03-Jan-2013 15:00:00,155
03-Jan-2013 16:00:00,66
03-Jan-2013 17:00:00,1
03-Jan-2013 18:00:00,0
03-Jan-2013 19:00:00,0
03-Jan-2013 20:00:00,0
03-Jan-2013 21:00:00,0
03-Jan-2013 22:00:00,0
03-Jan-2013 23:00:00,0
04-Jan-2013 00:00:00,0
04-Jan-2013 01:00:00,0
04-Jan-2013 02:00:00,0
04-Jan-2013 03:00:00,0
04-Jan-2013 04:00:00,0
04-Jan-2013 05:00:00,0
04-Jan-2013 06:00:00,0
04-Jan-2013 07:00:00,0
04-Jan-2013 08:00:00,0
04-Jan-2013 09:00:00,44
04-Jan-2013 10:00:00,198
04-Jan-2013 11:00:00,298
04-Jan-2013 12:00:00,409
04-Jan-2013 13:00:00,353
04-Jan-2013 14:00:00,233
04-Jan-2013 15:00:00,146
04-Jan-2013 16:00:00,51
04-Jan-2013 17:00:00,2
04-Jan-2013 18:00:00,0
04-Jan-2013 19:00:00,0
04-Jan-2013 20:00:00,0
04-Jan-2013 21:00:00,0
04-Jan-2013 22:00:00,0
04-Jan-2013 23:00:00,0
05-Jan-2013 00:00:00,0
05-Jan-2013 01:00:00,0
05-Jan-2013 02:00:00,0
05-Jan-2013 03:00:00,0
05-Jan-2013 04:00:00,0
05-Jan-2013 05:00:00,0
05-Jan-2013 06:00:00,0
05-Jan-2013 07:00:00,0
05-Jan-2013 08:00:00,0
05-Jan-2013 09:00:00,27
05-Jan-2013 10:00:00,96
05-Jan-2013 11:00:00,155
05-Jan-2013 12:00:00,257
05-Jan-2013 13:00:00,304
05-Jan-2013 14:00:00,263
05-Jan-2013 15:00:00,143
05-Jan-2013 16:00:00,42
05-Jan-2013 17:00:00,3
05-Jan-2013 18:00:00,0
05-Jan-2013 19:00:00,0
05-Jan-2013 20:00:00,0
05-Jan-2013 21:00:00,0
05-Jan-2013 22:00:00,0
05-Jan-2013 23:00:00,0
06-Jan-2013 00:00:00,0
06-Jan-2013 01:00:00,0
06-Jan-2013 02:00:00,0
06-Jan-2013 03:00:00,0
06-Jan-2013 04:00:00,0
06-Jan-2013 05:00:00,0
06-Jan-2013 06:00:00,0
06-Jan-2013 07:00:00,0
06-Jan-2013 08:00:00,0
06-Jan-2013 09:00:00,35
06-Jan-2013 10:00:00,87
06-Jan-2013 11:00:00,132
06-Jan-2013 12:00:00,269
06-Jan-2013 13:00:00,183
06-Jan-2013 14:00:00,165
06-Jan-2013 15:00:00,108
06-Jan-2013 16:00:00,63
06-Jan-2013 17:00:00,5
06-Jan-2013 18:00:00,0
06-Jan-2013 19:00:00,0
06-Jan-2013 20:00:00,0
06-Jan-2013 21:00:00,0
06-Jan-2013 22:00:00,0
06-Jan-2013 23:00:00,0
07-Jan-2013 00:00:00,0
07-Jan-2013 01:00:00,0
07-Jan-2013 02:00:00,0
07-Jan-2013 03:00:00,0
07-Jan-2013 04:00:00,0
07-Jan-2013 05:00:00,0
07-Jan-2013 06:00:00,0
