Date,Load_condition,Transformer_temperature
01-Jan-2013 00:00:00,288.695892334,45.5625
01-Jan-2013 01:00:00,283.397369385,43.875
01-Jan-2013 02:00:00,255.456085205,41.625
01-Jan-2013 03:00:00,245.57649231,39.75
01-Jan-2013 04:00:00,253.974655151,39
01-Jan-2013 05:00:00,244.725616455,37.875
01-Jan-2013 06:00:00,241.7449646,37.125
01-Jan-2013 07:00:00,259.12411499,36.75
01-Jan-2013 08:00:00,263.57220459,36.75
01-Jan-2013 09:00:00,258.390441895,36.5625
01-Jan-2013 10:00:00,287.165557861,36.75
01-Jan-2013 11:00:00,316.291992188,37.875
01-Jan-2013 12:00:00,341.270599365,39.75
01-Jan-2013 13:00:00,343.332122803,40.875
01-Jan-2013 14:00:00,344.810302734,41.4375
01-Jan-2013 15:00:00,330.955047607,41.8125
01-Jan-2013 16:00:00,312.162322998,41.8125
01-Jan-2013 17:00:00,343.940856934,42.375
01-Jan-2013 18:00:00,350.615539551,43.125
01-Jan-2013 19:00:00,326.645477295,44.0625
01-Jan-2013 20:00:00,320.78515625,43.6875
01-Jan-2013 21:00:00,355.341491699,43.875
01-Jan-2013 22:00:00,323.88269043,44.25
01-Jan-2013 23:00:00,295.138336182,43.875
02-Jan-2013 00:00:00,266.491241455,42.375
02-Jan-2013 01:00:00,247.64515686,40.5
02-Jan-2013 02:00:00,220.508117676,37.875
02-Jan-2013 03:00:00,209.359146118,36.1875
02-Jan-2013 04:00:00,205.68862915,34.6875
02-Jan-2013 05:00:00,231.907852173,33.9375
02-Jan-2013 06:00:00,269.36630249,34.125
02-Jan-2013 07:00:00,313.35446167,35.4375
02-Jan-2013 08:00:00,359.969604492,40.3125
02-Jan-2013 09:00:00,375.884368896,43.125
02-Jan-2013 10:00:00,366.555450439,44.625
02-Jan-2013 11:00:00,369.027954102,46.3125
02-Jan-2013 12:00:00,378.837127686,47.4375
02-Jan-2013 13:00:00,397.84576416,49.125
02-Jan-2013 14:00:00,388.509277344,49.3125
02-Jan-2013 15:00:00,381.825897217,49.125
02-Jan-2013 16:00:00,394.930755615,48.75
02-Jan-2013 17:00:00,403.512420654,50.8125
02-Jan-2013 18:00:00,417.812835693,52.5
02-Jan-2013 19:00:00,404.568145752,53.625
02-Jan-2013 20:00:00,397.15246582,53.4375
02-Jan-2013 21:00:00,385.499359131,53.625
02-Jan-2013 22:00:00,379.125732422,53.625
02-Jan-2013 23:00:00,348.734313965,53.8125
03-Jan-2013 00:00:00,315.856964111,51.375
03-Jan-2013 01:00:00,292.042907715,49.3125
03-Jan-2013 02:00:00,258.00012207,46.3125
03-Jan-2013 03:00:00,249.143066406,44.4375
03-Jan-2013 04:00:00,236.647323608,42.5625
03-Jan-2013 05:00:00,251.327728271,41.8125
03-Jan-2013 06:00:00,287.709838867,41.4375
03-Jan-2013 07:00:00,339.912658691,42.75
03-Jan-2013 08:00:00,380.495147705,46.125
03-Jan-2013 09:00:00,350.934570313,48.9375
03-Jan-2013 10:00:00,345.780944824,48.75
03-Jan-2013 11:00:00,339.407226563,48.75
03-Jan-2013 12:00:00,340.020690918,48.75
