Date,Wind_speed
01-Jan-2013 00:00:00,4
01-Jan-2013 01:00:00,4
01-Jan-2013 02:00:00,4
01-Jan-2013 03:00:00,7
01-Jan-2013 04:00:00,5
01-Jan-2013 05:00:00,6
01-Jan-2013 06:00:00,6
01-Jan-2013 07:00:00,5
01-Jan-2013 08:00:00,5
01-Jan-2013 09:00:00,5
01-Jan-2013 10:00:00,5
01-Jan-2013 11:00:00,6
01-Jan-2013 12:00:00,7
01-Jan-2013 13:00:00,6
01-Jan-2013 14:00:00,7
01-Jan-2013 15:00:00,8
01-Jan-2013 16:00:00,6
01-Jan-2013 17:00:00,4
01-Jan-2013 18:00:00,4
01-Jan-2013 19:00:00,5
01-Jan-2013 20:00:00,6
01-Jan-2013 21:00:00,7
01-Jan-2013 22:00:00,5
01-Jan-2013 23:00:00,4
02-Jan-2013 00:00:00,3
02-Jan-2013 01:00:00,3
02-Jan-2013 02:00:00,3
02-Jan-2013 03:00:00,3
02-Jan-2013 04:00:00,3
02-Jan-2013 05:00:00,3
02-Jan-2013 06:00:00,3
02-Jan-2013 07:00:00,3
02-Jan-2013 08:00:00,2
02-Jan-2013 09:00:00,2
02-Jan-2013 10:00:00,2
02-Jan-2013 11:00:00,3
02-Jan-2013 12:00:00,3
02-Jan-2013 13:00:00,4
02-Jan-2013 14:00:00,4
02-Jan-2013 15:00:00,5
02-Jan-2013 16:00:00,4
02-Jan-2013 17:00:00,3
02-Jan-2013 18:00:00,3
02-Jan-2013 19:00:00,5
02-Jan-2013 20:00:00,5
02-Jan-2013 21:00:00,5
02-Jan-2013 22:00:00,6
02-Jan-2013 23:00:00,5
03-Jan-2013 00:00:00,7
03-Jan-2013 01:00:00,7
03-Jan-2013 02:00:00,5
03-Jan-2013 03:00:00,5
03-Jan-2013 04:00:00,4
03-Jan-2013 05:00:00,4
03-Jan-2013 06:00:00,4
03-Jan-2013 07:00:00,4
03-Jan-2013 08:00:00,5
03-Jan-2013 09:00:00,5
03-Jan-2013 10:00:00,6
03-Jan-2013 11:00:00,6
03-Jan-2013 12:00:00,5
03-Jan-2013 13:00:00,5
03-Jan-2013 14:00:00,6
03-Jan-2013 15:00:00,6
03-Jan-2013 16:00:00,6
03-Jan-2013 17:00:00,4
03-Jan-2013 18:00:00,4
03-Jan-2013 19:00:00,5
03-Jan-2013 20:00:00,5
03-Jan-2013 21:00:00,7
03-Jan-2013 22:00:00,7
03-Jan-2013 23:00:00,6
04-Jan-2013 00:00:00,6
04-Jan-2013 01:00:00,6
04-Jan-2013 02:00:00,5
04-Jan-2013 03:00:00,6
04-Jan-2013 04:00:00,5
04-Jan-2013 05:00:00,6
04-Jan-2013 06:00:00,6
04-Jan-2013 07:00:00,8
04-Jan-2013 08:00:00,7
04-Jan-2013 09:00:00,6
04-Jan-2013 10:00:00,5
04-Jan-2013 11:00:00,5
04-Jan-2013 12:00:00,8
04-Jan-2013 13:00:00,8
04-Jan-2013 14:00:00,8
04-Jan-2013 15:00:00,6
04-Jan-2013 16:00:00,6
04-Jan-2013 17:00:00,5
04-Jan-2013 18:00:00,5
04-Jan-2013 19:00:00,5
04-Jan-2013 20:00:00,5
04-Jan-2013 21:00:00,4
04-Jan-2013 22:00:00,5
04-Jan-2013 23:00:00,5
05-Jan-2013 00:00:00,5
05-Jan-2013 01:00:00,5
05-Jan-2013 02:00:00,5
05-Jan-2013 03:00:00,4
05-Jan-2013 04:00:00,4
05-Jan-2013 05:00:00,3
05-Jan-2013 06:00:00,2
05-Jan-2013 07:00:00,2
05-Jan-2013 08:00:00,1
05-Jan-2013 09:00:00,1
05-Jan-2013 10:00:00,2
05-Jan-2013 11:00:00,3
05-Jan-2013 12:00:00,3
05-Jan-2013 13:00:00,5
05-Jan-2013 14:00:00,6
05-Jan-2013 15:00:00,5
05-Jan-2013 16:00:00,5
05-Jan-2013 17:00:00,5
05-Jan-2013 18:00:00,7
05-Jan-2013 19:00:00,5
05-Jan-2013 20:00:00,3
05-Jan-2013 21:00:00,4
05-Jan-2013 22:00:00,2
05-Jan-2013 23:00:00,3
06-Jan-2013 00:00:00,3
06-Jan-2013 01:00:00,2
06-Jan-2013 02:00:00,2
06-Jan-2013 03:00:00,3
06-Jan-2013 04:00:00,3
06-Jan-2013 05:00:00,4
06-Jan-2013 06:00:00,2
06-Jan-2013 07:00:00,3
06-Jan-2013 08:00:00,2
06-Jan-2013 09:00:00,2
06-Jan-2013 10:00:00,1
06-Jan-2013 11:00:00,3
06-Jan-2013 12:00:00,3
06-Jan-2013 13:00:00,2
06-Jan-2013 14:00:00,3
06-Jan-2013 15:00:00,3
06-Jan-2013 16:00:00,3
06-Jan-2013 17:00:00,2
06-Jan-2013 18:00:00,2
06-Jan-2013 19:00:00,1
06-Jan-2013 20:00:00,3
06-Jan-2013 21:00:00,2
06-Jan-2013 22:00:00,3
06-Jan-2013 23:00:00,4
07-Jan-2013 00:00:00,4
07-Jan-2013 01:00:00,3
07-Jan-2013 02:00:00,3
07-Jan-2013 03:00:00,2
07-Jan-2013 04:00:00,4
07-Jan-2013 05:00:00,3
07-Jan-2013 06:00:00,3
07-Jan-2013 07:00:00,3
07-Jan-2013 08:00:00,3
07-Jan-2013 09:00:00,3
07-Jan-2013 10:00:00,4
07-Jan-2013 11:00:00,4
07-Jan-2013 12:00:00,5
07-Jan-2013 13:00:00,5
07-Jan-2013 14:00:00,5
07-Jan-2013 15:00:00,5
07-Jan-2013 16:00:00,5
07-Jan-2013 17:00:00,5
07-Jan-2013 18:00:00,4
07-Jan-2013 19:00:00,4
07-Jan-2013 20:00:00,4
07-Jan-2013 21:00:00,4
07-Jan-2013 22:00:00,4
