Air_temperature,Global_solar_radiation,Precipitation,Wind_speed,Wind_direction,Load_condition,Transformer_temperature
9.6,0.0,0.0,4.0,230.0,288.695892334,45.5625
9.4,0.0,0.0,4.0,230.0,283.397369385,43.875
9.2,0.0,0.0,4.0,240.0,255.456085205,41.625
7.9,0.0,0.8,7.0,290.0,245.57649231,39.75
7.4,0.0,0.0,5.0,270.0,253.974655151,39.0
6.4,0.0,0.0,6.0,280.0,244.725616455,37.875
5.4,0.0,0.0,6.0,270.0,241.7449646,37.125
5.1,0.0,0.0,5.0,260.0,259.12411499,36.75
4.7,0.0,0.0,5.0,260.0,263.57220459,36.75
4.6,29.0,0.0,5.0,260.0,258.390441895,36.5625
5.4,357.0,0.0,5.0,250.0,287.165557861,36.75
6.8,691.0,0.0,6.0,260.0,316.291992188,37.875
7.4,903.0,0.0,7.0,260.0,341.270599365,39.75
7.5,806.0,0.0,6.0,260.0,343.332122803,40.875
7.4,755.0,0.0,7.0,270.0,344.810302734,41.4375
7.4,559.0,0.0,8.0,270.0,330.955047607,41.8125
6.8,110.0,0.0,6.0,270.0,312.162322998,41.8125
6.5,0.0,0.0,4.0,250.0,343.940856934,42.375
5.9,0.0,0.0,4.0,240.0,350.615539551,43.125
5.1,0.0,0.0,5.0,240.0,326.645477295,44.0625
6.1,0.0,0.0,6.0,260.0,320.78515625,43.6875
5.4,0.0,0.0,7.0,260.0,355.341491699,43.875
5.3,0.0,0.0,5.0,260.0,323.88269043,44.25
4.4,0.0,0.0,4.0,260.0,295.138336182,43.875
4.0,0.0,0.0,3.0,220.0,266.491241455,42.375
3.7,0.0,0.0,3.0,220.0,247.64515686,40.5
3.6,0.0,0.0,3.0,210.0,220.508117676,37.875
3.2,0.0,0.0,3.0,200.0,209.359146118,36.1875
3.5,0.0,0.0,3.0,210.0,205.68862915,34.6875
3.4,0.0,0.0,3.0,200.0,231.907852173,33.9375
3.1,0.0,0.0,3.0,200.0,269.36630249,34.125
4.3,0.0,0.0,3.0,200.0,313.35446167,35.4375
4.9,0.0,0.0,2.0,200.0,359.969604492,40.3125
5.6,31.0,0.0,2.0,200.0,375.884368896,43.125
6.1,109.0,0.0,2.0,200.0,366.555450439,44.625
6.8,221.0,0.0,3.0,210.0,369.027954102,46.3125
7.3,163.0,0.0,3.0,210.0,378.837127686,47.4375
7.9,152.0,0.0,4.0,220.0,397.84576416,49.125
8.0,131.0,0.0,4.0,210.0,388.509277344,49.3125
7.9,58.0,0.4,5.0,220.0,381.825897217,49.125
8.3,34.0,0.2,4.0,210.0,394.930755615,48.75
8.8,2.0,0.0,3.0,220.0,403.512420654,50.8125
9.5,0.0,0.0,3.0,230.0,417.812835693,52.5
10.1,0.0,0.0,5.0,250.0,404.568145752,53.625
10.3,0.0,0.0,5.0,240.0,397.15246582,53.4375
10.7,0.0,0.0,5.0,240.0,385.499359131,53.625
10.9,0.0,0.0,6.0,260.0,379.125732422,53.625
11.0,0.0,0.0,5.0,250.0,348.734313965,53.8125
11.0,0.0,0.0,7.0,260.0,315.856964111,51.375
10.7,0.0,0.0,7.0,270.0,292.042907715,49.3125
10.6,0.0,0.0,5.0,250.0,258.00012207,46.3125
10.5,0.0,0.0,5.0,250.0,249.143066406,44.4375
10.5,0.0,0.0,4.0,250.0,236.647323608,42.5625
10.2,0.0,0.0,4.0,260.0,251.327728271,41.8125
9.8,0.0,0.0,4.0,250.0,287.709838867,41.4375
9.8,0.0,0.0,4.0,250.0,339.912658691,42.75
10.0,0.0,0.0,5.0,250.0,380.495147705,46.125
10.3,28.0,0.0,5.0,250.0,350.934570313,48.9375
10.5,171.0,0.0,6.0,260.0,345.780944824,48.75
10.8,260.0,0.0,6.0,260.0,339.407226563,48.75
11.1,195.0,0.0,5.0,260.0,340.020690918,48.75
11.7,425.0,0.0,5.0,260.0,333.528137207,48.5625
11.8,346.0,0.0,6.0,250.0,328.500366211,47.8125
11.5,155.0,0.0,6.0,270.0,344.810302734,47.0625
11.2,66.0,0.0,6.0,260.0,367.291595459,48.0
10.8,1.0,0.0,4.0,240.0,368.330810547,49.5
10.9,0.0,0.0,4.0,240.0,373.976196289,50.4375
11.0,0.0,0.0,5.0,250.0,373.798583984,51.75
11.1,0.0,0.0,5.0,250.0,335.734375,51.375
11.2,0.0,0.0,7.0,250.0,315.506164551,49.875
11.4,0.0,0.0,7.0,260.0,348.23046875,49.875
11.2,0.0,0.0,6.0,260.0,346.552764893,49.875
11.1,0.0,0.0,6.0,250.0,318.811889648,49.125
10.6,0.0,0.0,6.0,260.0,284.676361084,47.25
10.3,0.0,0.0,5.0,250.0,247.939163208,44.8125
10.1,0.0,0.0,6.0,260.0,234.375,42.9375
10.0,0.0,0.2,5.0,260.0,222.07913208,40.875
9.9,0.0,0.0,6.0,260.0,218.74017334,39.1875
10.0,0.0,0.0,6.0,260.0,274.832336426,39.375
9.9,0.0,0.0,8.0,260.0,326.480407715,40.6875
9.9,0.0,0.0,7.0,270.0,338.057403564,42.75
9.6,44.0,0.0,6.0,260.0,332.852844238,44.25
10.0,198.0,0.0,5.0,260.0,307.09387207,44.625
9.9,298.0,0.0,5.0,270.0,323.119567871,44.625
10.0,409.0,0.0,8.0,270.0,384.805664063,46.875
10.2,353.0,0.0,8.0,270.0,385.561676025,49.3125
10.5,233.0,0.0,8.0,270.0,402.785705566,50.0625
10.5,146.0,0.0,6.0,270.0,430.778717041,53.25
10.2,51.0,0.0,6.0,280.0,434.137512207,55.3125
10.2,2.0,0.0,5.0,270.0,402.697937012,55.3125
10.0,0.0,0.0,5.0,270.0,400.400177002,55.3125
9.8,0.0,0.0,5.0,260.0,382.812896729,55.3125
9.7,0.0,0.0,5.0,260.0,341.451965332,53.4375
9.3,0.0,0.0,4.0,260.0,308.970703125,49.875
9.0,0.0,0.0,5.0,250.0,317.859649658,48.1875
8.6,0.0,0.0,5.0,260.0,275.420135498,45.75
8.6,0.0,0.0,5.0,260.0,273.476593018,43.6875
8.4,0.0,0.0,5.0,260.0,255.309249878,42.0
8.4,0.0,0.0,5.0,260.0,247.114593506,40.6875
8.2,0.0,0.0,4.0,250.0,229.050354004,39.1875
8.2,0.0,0.0,4.0,250.0,214.975463867,38.625
8.3,0.0,0.0,3.0,250.0,211.53918457,37.125
8.5,0.0,0.0,2.0,230.0,233.352767944,37.3125
8.6,0.0,0.0,2.0,230.0,266.519805908,37.3125
8.7,0.0,0.0,1.0,170.0,301.962341309,39.0
9.1,27.0,0.0,1.0,220.0,329.609741211,41.25
9.5,96.0,0.0,2.0,210.0,343.702270508,43.5
10.2,155.0,0.0,3.0,220.0,338.881439209,44.8125
10.7,257.0,0.0,3.0,240.0,312.28805542,44.8125
10.8,304.0,0.0,5.0,250.0,322.087921143,44.8125
10.9,263.0,0.0,6.0,250.0,325.022247314,44.8125
10.8,143.0,0.0,5.0,250.0,352.867706299,45.1875
10.4,42.0,0.0,5.0,250.0,404.111694336,48.75
10.3,3.0,0.0,5.0,250.0,422.82208252,52.125
10.5,0.0,0.0,7.0,260.0,423.327606201,54.1875
10.6,0.0,0.0,5.0,260.0,381.125488281,54.1875
10.0,0.0,0.0,3.0,260.0,336.52230835,52.5
9.2,0.0,0.0,4.0,250.0,336.126831055,51.5625
