0,1,2,3,4,5,6
16.3,2722,0,7,310,356.585205078,55.875
14.3,0,0,5,320,232.800338745,50.25
13.6,0,0,4,320,218.979446411,47.8125
13.3,0,0,3,300,213.063369751,45.75
12.9,0,0,2,280,208.952148438,44.4375
12,0,0,2,270,199.100479126,42.75
12.2,103,0,4,280,231.144973755,42.75
13.3,540,0,6,310,290.496124268,43.3125
14.2,951,0,6,310,320.750671387,46.125
14.4,805,0,7,300,330.121185303,47.8125
15.1,1498,0,6,300,342.614929199,49.875
15.9,1435,0,7,310,352.05255127,51.75
15.8,1994,0,6,320,350.087127686,52.125
16.4,2274,0,5,330,353.656616211,53.4375
18,2745,0,6,320,347.574462891,54.375
18.6,2901,0,6,310,333.088562012,55.125
20.1,2594,0,6,310,345.606719971,55.5
20.8,2174,0,7,300,360.471923828,56.4375
15.3,0,0,5,330,269.141235352,52.3125
14.5,0,0,5,340,242.216842651,49.875
14.2,0,0,4,340,230.83543396,47.8125
13.5,0,0,3,330,214.401489258,46.125
13.8,0,0,3,330,210.038085938,44.4375
13.8,0,0,2,340,186.290100098,42.75
14.1,109,0,2,310,203.735122681,42.375
14.6,241,0,3,300,228.23890686,42.375
15.1,344,0,2,270,241.238464355,43.125
15.7,651,0,3,270,257.614044189,44.0625
16.8,1245,0,3,260,301.841003418,46.3125
17,1201,0,3,210,315.981018066,48.375
17.4,1224,0,4,220,323.433135986,49.125
17.4,628,0,4,240,320.894073486,50.8125
17,816,0,4,230,323.433135986,51.375
18.5,1243,0,4,210,317.208129883,51.9375
19.7,892,0,4,210,310.9871521,52.3125
19.2,701,0,4,220,317.208129883,51
17.5,373,0.4,3,210,331.072509766,51.5625
17.5,213,1,2,180,328.14630127,52.125
17.9,217,0.2,1,160,330.455749512,53.4375
17.9,138,0,3,250,323.610870361,53.4375
17.1,7,0.2,2,220,326.142608643,53.625
16.7,0,0,3,220,303.591827393,53.625
16.8,0,0,4,240,282.113464355,53.0625
16.3,0,0,5,250,279.465576172,52.5
15.8,0,0,4,260,260.837127686,50.25
15,0,0,4,260,243.195388794,48.75
14.8,0,0,4,250,228.711608887,47.4375
14.6,1,0,5,260,240.14163208,46.3125
15,68,0,5,250,245.326309204,46.125
15.1,98,0,7,260,248.646331787,46.125
15.3,503,0,5,250,266.390686035,46.6875
15.7,901,0,6,250,299.47454834,47.8125
16.2,523,0,6,270,301.683624268,49.6875
18.1,2018,0,8,270,346.394287109,51.5625
